Sequence (User can ignore),360VOS ID,Target,Split,Muptiple,360VOT ID,IV(illumination variation),BC(background clutter),DEF(deformable target),MB(motion blur),CM(camera motion),ROT(rotation),POC(partial occlusion),FOC(full occlusion),ARC(aspect ratio change),SV(scale variation),FM(fast motion),LR(low resolution),HR(high resolution),SA(stitching artifact),CB(cross border),FMS(fast motion on the sphere),LFoV(large FoV),LV(latitude variant),HL(high latitude),LD(large distortion
3aVfWROXA6c_0-50_1-50,043,dolphin,train,,038,1,1,1,1,,1,1,,1,1,1,1,,,1,1,,1,1,1
BbT_e8lWWdo_0-45_1-16,044,dolphin,train,,039,,1,1,,,1,1,,1,1,,,,,,,,1,1,1
_AmrVDTlHA4_0-07_0-37,045,drone,train,,040,,1,,,,,1,1,1,1,1,1,1,,1,1,1,1,1,1
9SHQyAZHQz8,046,drone,train,,041,1,,,1,,1,1,1,1,1,1,1,,,1,1,,1,1,
aWKEA7cn0a0_0-55_1-35,047,drone,train,,,,1,,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1
cHR7CAWJqf8_0-27_2-00,048,drone,train,,,1,1,,,1,1,,1,1,1,1,1,,,1,1,,1,1,1
froAjyhyLeg_0-59_2-20,049,drone,train,,,1,1,,,1,1,,1,1,1,1,1,,,1,1,,1,1,
Hy_8wasVj3w_0-02_00-31,050,drone,train,,,1,1,,1,1,1,,1,1,1,1,1,,,1,1,,1,1,1
s5gTHNNPsQ8_0-52_1-22,051,drone,train,,,,1,,,1,,,,1,1,,1,,,,1,,,,
TeLth_3OE7w_00-50_01-14,052,drone,train,,,,1,,,1,1,1,1,1,1,1,1,,1,,1,,1,1,1
VGY4ksezNkY_3-16_3-39,053,drone,train,,,1,1,,,1,,,,1,1,1,1,,,,1,,,,
Znfg4HXXiyc,054,drone,train,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,,,,1
5N_EAkdAQiE_3-40_4-07,055,elephant,train,,,,1,1,,,1,,,1,1,,1,,,,,,,,
4yB_hwKe4Dc_0-20_02-27,056,F1 car,train,,044,1,1,,,,,1,1,1,1,1,1,,1,,1,,,,
flY2fPOrs5Y,057,F1 car,train,,045,,1,,1,,,1,,1,1,,1,1,1,1,,1,,,1
N491WgHfjWQ_0-10_3-05,058,F1 car,train,,046,,1,,1,,,1,,1,1,,,,,1,,,,,
3G9BRYdQwfA_0-10_1-20,059,pedestrian,train,,,,,1,,,,1,1,1,1,,1,,,,1,,,,
7nXn0zMnUqA_10-45_19-20,060,fly,train,,047,,1,,1,1,,1,1,1,1,1,1,,,1,1,,1,,
AMG4rElThxI_6-12_7-56,061,fly,train,,,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1
DNT0OvsjK6Q_1-01_2-42,062,fly,train,,,,1,,,,,1,,1,1,,,1,,1,,,1,,1
H6SsB3JYqQg_00-01_01-30,063,fly,train,,,,1,,,,,,,1,1,,,1,,,,1,1,,1
H6SsB3JYqQg_5-40_6-28,064,fly,train,,,1,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
mKZNZ1BPB5s_0-02_0-20,065,fly,train,,048,,,,,1,1,1,,,1,,1,,,,1,,1,1,1
pR97PVvChuo,066,fly,train,,049,,1,,,1,1,1,1,1,1,,1,,,,1,,,,1
WPtpS2wf-0Y_2-28_4-00,067,fly,train,,050,1,1,,,1,1,1,,,1,1,1,,,,1,,1,,1
EefzOjxBT8E_2-25_3-45,068,fox,train,,,1,1,1,1,,1,1,1,1,1,,1,,1,,1,,1,1,1
0DYnFfweKj0_0-39_1-08,069,giraffe,train,,,,1,1,,,1,1,,1,1,,,,,,,,,,
bSo-_jkyN2M_1-32_2-02,070,giraffe,train,,,,1,1,,1,1,1,,1,1,,1,,,,1,,,,
-qP8rjfzQyE_2-18_3-30,071,helmet,train,,055,1,,,,,1,1,,1,1,1,,1,,1,1,1,1,1,1
NJIHRxIwzkM_0-09_1-25,072,hockey player,train,,,,1,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,1
NJIHRxIwzkM_0-09_7-25,073,hockey player,train,,053,,,1,1,,,1,,1,1,1,1,1,,1,1,,1,1,1
z_7ikauwrJ8_3-22_4-58,074,hockey player,train,,054,,,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
F6-ORMasSE8_0-00_0-50,075,horse,train,,057,1,,1,,1,,,,,1,,,1,,1,,1,,,1
t88g8sZaVi4_0-20_0-45,076,kangaroo,train,,,1,1,1,,,1,1,1,1,1,1,1,,,1,1,,,,1
63fXIHVuwUU_1-43_2-55,077,kart,train,1,058,1,,,,1,1,1,,1,1,1,1,,,1,1,,1,,
9DgfAh3nGfg_7-00_9-00,078,kart,train,,,,1,,1,,,1,1,1,1,1,1,1,,1,1,1,,,1
dsGzEQ1z_vo,079,kart,train,,060,1,1,,1,,,1,,1,1,,1,1,1,1,,,,,
hTMM7Pm3WZ8_0-05_2-07,080,F1 car,train,,,,,,1,,,,,,1,,,1,1,,,,,,
MIqV5iqLsTE_0-36_1-20,081,kart,train,,,1,1,,,,,1,1,1,1,,1,1,,1,1,1,,,1
MIqV5iqLsTE_2-44_3-26,082,kart,train,,,1,,,,1,1,1,1,1,1,1,1,,,1,1,,,,1
rRC94BQmE-w_0-30_2-15,083,kart,train,,061,,,,,1,1,1,,1,1,1,,,,1,1,,,,
XMx_c3JM4FQ_1-48_2-50,084,F1 car,train,,062,1,,,,1,1,,,,1,1,,,,1,1,,,,
yoFWrNk29hQ_2-57_3-30,085,kid,train,,063,1,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,,,,1
-4xtQ2bUUoQ_0-40_2-10,086,kitty,train,,064,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,,,
-4xtQ2bUUoQ_2-17_4-30,087,kitty,train,,065,,1,1,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1
-Xp03_aJSMo_0-45_7-30,088,kitty,train,,066,,1,1,1,,1,1,,1,1,,,1,,1,1,,1,1,1
0RtmVnD8_XM_0-00_1-57,089,kitty,train,,067,,1,1,1,,1,1,1,1,1,1,1,1,,1,1,1,1,,1
3ooZWLeulrA_2-45_3-30,090,lego,train,,069,1,1,,,,,1,,,1,1,1,1,,1,1,,,,
3ooZWLeulrA,091,lego,train,,068,1,1,,,,,1,1,1,1,1,1,1,,1,1,,,,
f3npx5FZzbY_0-50_02-00,092,monkey,train,,070,1,,1,1,,,1,,1,1,,,1,,1,1,,1,1,1
pM_wQUJA2hQ_0-00_2-30,093,panda,train,,,1,1,1,,,1,1,1,1,1,1,1,,,,1,,1,1,1
RwtgKA9Y2s0_0-00_1-53,094,panda,train,,073,,,1,,,1,,,1,1,,,1,,1,,1,,,1
OPdtvQ1MwSA_6-13_6-56_2,095,parachute,train,,,1,,,,1,,,1,1,1,1,1,,,,1,,1,,
-Fw00n9hcd8_0-00_1-10,096,pedestrian,train,,074,,1,1,1,,,1,1,1,1,1,1,,,,1,,,,
F4h_MVrn92s_0-06_0-46,097,pedestrian,train,,,,1,1,,,1,1,1,1,1,,1,,,,1,,,,
FzrkpXlRP1M_0-31_1-00,098,pedestrian,train,,,,,1,,,1,1,1,1,1,1,1,,,1,1,,,,
IhehCP6wzVQ_0-21_1-17,099,pedestrian,train,,,,1,1,,1,1,1,1,1,1,,1,,,,1,,,,1
mGD6f4j15BA_0-00_2-00,100,pedestrian,train,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,,1
rZfm3WGAmKw_1-19_1-45,101,pedestrian,train,,,,1,,,1,,1,,1,1,,1,,,,1,,1,,
wwH3fygSNVU_2-13_2-36,102,penguin,train,,,1,,1,,,1,1,,1,1,1,1,,,1,1,,,,
_C9i7tHu6RE_start_0-35,103,people/bike,train,,076,,1,,1,,,1,1,1,1,,1,,,1,,,1,,1
1FW531fBb40,104,people/bike,train,1,002,1,,1,1,,1,,1,1,1,1,1,,1,,1,,1,1,1
1toQxYBLA7o_1-19_1-59,105,people/bike,train,1,077,,,1,1,,,,,1,1,,,1,1,1,,1,,,1
79zw-j3n6gw_2-40_4-25,106,people/bike,train,1,078,,,,,1,1,1,1,1,1,,1,,,,1,,,,
9aCh4azo6h0_0-24_1-01,107,people/bike,train,,,,1,1,1,,,1,1,1,1,1,1,1,,1,1,,1,,1
AnDYhotuPsY_1-30_2-30,108,people/bike,train,,,1,1,1,,1,1,1,1,1,1,1,1,,,1,1,,,,
dgyEQYBX9qI,109,people/bike,train,,,,,1,1,1,1,1,,1,1,1,1,,,1,1,1,1,,1
gqgtTiUHIn8_1-14_1-44,110,people/bike,train,,,,1,1,1,,1,,,1,1,1,1,,,1,1,,,,
Lg6YYMZzxVk_start_2-39,111,people/bike,train,,,1,,,,1,,1,,,1,,,,,,1,,,,
VNe6v2qNreo_0-04_0-26,112,people/bike,train,,,,1,,1,,1,1,,1,1,1,1,,1,,1,,,,
2NnqO9W-NWQ_1-00_1-50,113,people/boat,train,,005,,1,,1,,,1,1,1,1,1,1,1,1,,1,1,,,1
2Lh0eKI_8hM_0-00_1-36,114,people/horse,train,1,080,,1,1,,1,1,1,,1,1,,1,,,,1,,1,,
3vCKOecrPsQ_0-00_1-10,115,people/horse,train,,056,1,1,1,1,,,1,1,1,1,1,1,1,,1,1,,,,
4Fnawph92wI_0-00_0-30,116,people/horse,train,,081,,,1,,1,1,,,1,1,,,1,,,,,,,
bZEfPeHUbOY_1-10_2-35,117,people/horse,train,1,,,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,,1
HofGoDl9upg_1-26_2-45,118,people/horse,train,,,,1,1,1,1,,1,1,1,1,1,1,1,,,1,,,,
silcsSn6V20_0-00_2-04,119,people/horse,train,,,,,1,1,,,1,1,1,1,,1,1,,,1,1,,,
tDd0xnlCYOk_1-16_2-25,120,people/horse,train,,082,,1,1,1,,,1,,1,1,,1,1,1,,,,,,
TheKh4NWgAQ_2-32_3-52,121,people/horse,train,,083,1,1,,,1,1,,,1,1,,1,,,,,,,,
-jooIQE4cvM_0-14_2-50,122,people/moto,train,,084,1,1,1,1,1,,1,1,1,1,1,1,,1,1,1,,,,
65mGNcmcLAQ_1-36_6-00,123,people/moto,train,,085,1,,,1,,,1,1,1,1,1,1,1,1,1,1,,1,,1
dJ5gLZqomiE_1-55_3-40,124,people/moto,train,,086,1,1,1,1,,,1,1,1,1,,1,1,1,,,1,,,1
dWmk_qZs9xs_0-00_1-29,125,people/moto,train,1,071,1,1,,1,,,1,,,1,,,1,,1,,,,,
eUFKDlhE_xQ_0-42_2-05,126,people/moto,train,,087,,1,1,,1,1,1,1,1,1,1,1,,,1,1,,1,,
G2eS9SKT3ro_00-10_01-20,127,people/moto,train,,088,1,1,,1,,,1,1,1,1,1,1,1,,1,1,,1,,
iHQhWOATM5c,128,people/moto,train,,089,1,1,,,,,1,1,1,1,1,1,,,,1,,1,,
iHQhWOATM5c_00-08_end,129,people/moto,train,,090,1,1,,1,,,1,1,1,1,1,1,,,1,1,,1,,
KhM4wCxAG8Y_1-21_3-28,130,people/moto,train,,091,,,,1,,,1,,1,1,,,1,1,1,,,1,,1
LuwZTaljCOY_00-15_00-47,131,people/moto,train,,,1,1,,1,,,1,1,1,1,1,1,1,1,1,1,,,,
pBfXR72szoc_00-45_01-45,132,people/moto,train,,,,1,,1,,,1,1,1,1,1,1,,1,1,1,,,,
pBfXR72szoc_01-05_02-10,133,people/moto,train,,092,,1,1,,,,1,1,1,1,1,1,1,,,1,,,,
ZLEizWflDEo_00-04_01-20,134,people/moto,train,,093,,1,,,1,1,1,1,1,1,1,1,,,1,1,,,,
stswpic-z5E_0-40_2-20,135,rabbit,train,,094,,1,1,,,1,1,,1,1,,,1,,1,,,1,1,1
60oi8-vtZdE_01-00_2-20,136,RC car,train,,020,1,,,1,,1,1,1,1,1,1,1,,,1,1,,,,
F0ToONRaVps_0-12_end,137,RC car,train,,024,,1,,,,1,1,1,1,1,1,1,,,1,1,,,,
fd_v6OfXB4g_3-00_5-15,138,RC car,train,,025,1,,,1,,,,,1,1,1,1,1,1,,1,,,,1
KaqsQeAKRKc_0-51_1-34,139,RC car,train,,,1,1,,1,,,1,,1,1,1,,1,1,1,1,,,,
sKsgSz3onQs_3-08_4-55,140,RC car,train,,,,1,,,,1,1,1,1,1,1,1,,1,1,1,,,,
VGTuARV3LBo_0-00_0-52,141,rhinoceros,train,,095,,1,1,,,,1,,1,1,,,1,,,,,,,
3pg8KWMhBho_0-30_5-20,142,rollerblader,train,,096,1,1,1,1,,,1,1,1,1,1,1,,,1,1,,,,
O3VNDvx1YOE_0-46_3-50,143,rollerblader,train,,097,1,1,1,,,1,1,1,1,1,1,1,1,,1,1,1,,,1
22ORGkhDOTM_4-51_5-19,144,shark,train,,098,,1,1,,,,1,,1,1,,,1,,1,,,1,,
XP82J3Hl3rI_5-34_6-30,145,shoes,train,,099,,1,,1,1,,,1,1,1,1,1,,,1,1,,1,1,1
e_oR0fkPehY_00-43_01-10,146,skateboarder,train,,100,,,1,1,,1,1,,1,1,1,1,,1,,1,,,,
e_oR0fkPehY_1-57_2-40,147,skateboarder,train,,101,,1,1,1,,1,1,,1,1,1,1,1,,1,1,,1,1,1
e_oR0fkPehY_3-04_3-48,148,skateboarder,train,,,,1,1,1,,1,1,,1,1,1,1,,1,1,1,,,,
IpjyW_xdDrY_0-09_01-29,149,skateboarder,train,,,1,1,1,1,,,1,1,1,1,1,1,1,,1,,,,,
oNGpFwX5Bqo_1-02_1-25,150,skateboarder,train,,,,,1,,1,1,1,,1,1,1,1,,,1,1,,1,1,1
WHsORKVyJys_3-40_6-45,151,skateboarder,train,,,1,,,,1,,1,1,1,1,1,1,,,1,1,,,,
2fbzIUqCW-E_0-44_1-45,152,skiing,train,,102,,1,1,1,,1,1,1,1,1,1,1,,,1,1,,1,,
2fbzIUqCW-E_1-14_2-20,153,skiing,train,,103,,1,1,1,,1,,,1,1,1,1,1,,1,1,,1,,1
68aUL0U5VhA_1-22_2-03,154,skiing,train,,104,,,1,,1,1,1,1,1,1,1,1,,,,1,,,,
JqzVfL47xgs,155,skiing,train,,105,1,1,1,1,,,1,1,1,1,1,1,,,1,1,,,,
LDeM8bItwyw_0-08_01-46,156,skiing,train,,,,1,,1,,,1,1,1,1,1,1,,1,1,1,,1,,
f3psRHZ2wck_00-07_1-05,157,skydiver,train,,108,,,1,,,1,1,,1,1,1,1,1,,1,1,1,1,,1
o6fjhstdn6M_2-32_3-00,158,skydiver,train,,109,,,1,,1,1,,1,1,1,1,1,,,,1,,1,,1
OPdtvQ1MwSA_6-13_6-56,159,skydiver,train,,,1,1,,,1,1,,,1,1,1,1,,,1,1,,1,,
S5XXsRuMPIU_2-35_3-15,160,skydiver,train,,,1,1,1,,,1,1,,1,1,1,,1,,,1,,1,,
NWT2p-M1NOw_0-10_0-47,161,squirrel,train,,111,,,1,,,,,,1,1,1,,1,1,1,,1,1,,1
HhZR62d5Fi4_0-01_1-06,162,surfer,train,,112,,1,1,1,,,1,1,1,1,1,1,,,,,,,,
OrR6HaOCQ8w_0-16_1-03,163,surfer,train,,,,1,,,1,1,1,1,1,1,1,1,,,,1,,,,
9Wn_fxTIuR0,164,tire,train,,114,1,,,1,1,,1,1,1,1,1,1,,,1,1,,1,,
MSYnU99Ubzc_0-18_1-40,165,train,train,,115,1,1,,1,1,,1,,1,1,1,1,1,,1,1,1,1,1,1
sU8oSjtZlx4_2-40_3-33,166,turtle,train,,116,1,,1,,,1,,1,1,1,1,1,1,,,1,1,,,1
AX4hWfyHr5g,167,wing outfit,train,,117,,1,1,1,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1
l0B-jPHyMY4_0-08_2-20,168,wing outfit,train,,118,1,,1,1,1,1,1,,1,1,1,1,1,,1,1,1,1,1,1
QlfdPwwjwEQ_1-34_3-00,169,wing outfit,train,,119,,,1,,,,1,,1,1,1,1,1,,1,,1,1,1,1
CjN8U3EovJo_2-06_2-30,170,wood,train,,,,1,,,1,1,1,,1,1,,1,,,,1,,1,,1
J9iME9ps56U_4-41_5-30,,boat,none,,,,,,,,,,,,,,,,,,,,,,
J9iME9ps56U_8-24_8-56,,boat,none,,,,,,,,,,,,,,,,,,,,,,
JJWKDtubnOs_0-35_1-05,,boat,none,,,,,,,,,,,,,,,,,,,,,,
y2HS07WGo-E_1-09_2-57,,boat,none,,011,,,,,,1,1,,1,1,1,1,,,1,1,,,,
_0gTulS34Tc_0-30_end,,building,none,,012,1,,,1,,,1,1,1,1,1,1,,,1,1,,1,,1
_7_DQO2_cjw_1-00_02-05,,building,none,,013,,1,,1,,,1,1,1,1,1,1,,,,1,,,,
ELyphY22pBY_0-30_1-44,,building,none,,017,,,,1,1,,1,1,1,1,1,1,,1,1,1,,1,1,1
9g1GktDFFDU_4-20_5-20,,car,none,,,1,1,,1,,,1,,1,1,,,,,1,,,,,
A-U7tGXVuBc_3-05_5-45,,car,none,,,1,1,,1,,,1,1,1,1,1,1,,,,1,1,,,
bntHRNNF74k_2-30_4-00,,car,none,,021,,1,,1,,,,,1,1,,1,,,1,,,1,,
Lo7vXiFdmNU_2-30_4-30,,car,none,,022,,,,,,,,,,,,,,,,,,,,
Lo7vXiFdmNU_2-30_4-30_2,,car,none,,023,,,,,,,,,,,,,,,,,,,,
U5xEHvTuMrM_00-10_02-35,,car,none,,028,,1,,1,,1,1,1,1,1,1,1,,,1,1,,,,
TuD2aSlDCC0_0-00_1-30,,diver,none,,,,,,,,,,,,,,,,,,,,,,
a_XIZHXRw4I_0-05_1-35,,elephant,none,,042,,1,1,,,,1,1,1,1,1,1,,,,1,,,,
FzVukhe7KWk_2-40_4-44,,elephant,none,,043,1,1,1,1,,,1,,1,1,,,1,,,,,,,
sF-yZWqCEDM_0-28_end,,fly,none,,051,,1,,1,,1,1,1,1,1,1,1,1,,1,1,1,1,1,1
wgh6FgmO_gw_9-35_11-15,,fly,none,,052,,,,1,,,,,,1,,,,,,,,,,
bP3gouhTMow_6-00_7-30,,kart,none,,059,1,1,,1,,,1,,1,1,1,,1,,1,1,,,,
R_Pb5_cEzNU_0-05_0-50,,panda,none,,072,,,1,,,,1,1,1,1,1,1,,,,,,,,
HvLqRvzT9RY,,people/bike,none,,079,1,1,,1,1,,1,1,1,1,1,1,1,,,1,,1,,1
2yPFxRebPKo_1-05_2-25,,people/horse,none,,,,,,,,,,,,,,,,,,,,,,
E0YgxclNnRM_1-15_2-25,,people/horse,none,,,,,,,,,,,,,,,,,,,,,,
LpNZmoQ0Q8o_0-00_0-55,,people/moto,none,,,,,,,,,,,,,,,,,,,,,,
LuwZTaljCOY_0-27_0-56,,people/moto,none,,,,,,,,,,,,,,,,,,,,,,
Wh8ygEXyBd0_2-11_2-50,,people/moto,none,,,,,,,,,,,,,,,,,,,,,,
KA9vPGpsmRQ_2-10_end,,RC car player,none,,075,,,,1,,,,1,1,1,1,1,1,1,1,1,1,,,1
iQUjoGVBlng_4-50_7-30,,robot,none,,,,,,,,,,,,,,,,,,,,,,
ZKSCy6Jzmck_0-00_1-08,,skiing,none,,106,1,1,,1,,,1,1,1,1,1,1,,,1,,,,,
AZe29x44wZ0_1-52_2-50,,skydiver,none,,,,,1,,,1,1,,1,1,,1,1,,,,,1,,1
d8mVm2VNQYo_0-30_end,,skydiver,none,,107,,,,,,,,,,,,,,,,,,,,
XZj03Mbifbo_0-50_1-20,,skydiver,none,,,,,,,,,,,,,,,,,,,,,,
XZj03Mbifbo_1-05_1-20,,skydiver,none,,,,,,,,,,,,,,,,,,,,,,
Y-Iir3C_Jg4_start_0-47,,skydiver,none,,110,,,1,,1,1,1,,1,1,,,1,,1,1,1,1,1,1
LKMXh8F93kk_7-08_7-40,,surfer,none,,113,,,,1,,1,1,1,1,1,1,1,,,1,1,,1,1,
wBh5uIpuWSg_start_02-40,,wing outfit,none,,120,1,,1,,,1,1,1,1,1,1,1,1,,1,1,,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,
test+train,,,,,,106,162,160,106,147,193,222,152,268,289,184,210,135,63,182,227,84,120,65,154
test+train+challenge,,,,,,127,182,197,124,185,251,265,180,322,349,230,245,164,76,224,280,100,138,75,190
